Date,Post ID,Network,Content Type,Profile,Sent by,Link,Post,Impressions,Organic Impressions,Engagement Rate (per Impression),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Post Clicks (All),Year,part_of_day_posted,Month,day_of_week,is_weekend,post_length,contains_question,num_hashtags,no of tags,Linked Content(?)
2018-01-29 10:00:00,6363666880795865088,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6363666880665833472,"#MotivationMonday
Wherever you find yourself, complaining and grumbling won’t do you any good but risking to go beyond the norm can. Be motivated by this quote:",6,6,516.67,31,30,30,0,1,0.0,0,0,2018,morning,Jan,Monday,0,26,0,1,0,No linked content
2018-01-29 12:12:00,6363700043815403520,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6363700044163543040,"Members of  Stanbic IBTC Asset Management's Executive Committee and Dr. Mansur Ibrahim, Founder of Ahlulbaiti and Sahaba Foundation Nigeria, at the recently held Imaan Fund cheque presentation to the foundation.",10,10,600.0,60,57,57,0,1,20.0,2,2,2018,afternoon,Jan,Monday,0,30,0,0,0,No linked content
2018-01-30 10:00:00,6364029228677234688,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6364029228601737217,"#TermOfTheDay
A Permalink is a web address that permanently links to a specific web page, forum or blog entry.",3,3,833.33,25,24,24,0,1,0.0,0,0,2018,morning,Jan,Tuesday,0,19,0,1,0,No linked content
2018-01-30 14:00:00,6364089677770747904,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6364089677640724481,#JAMBTip Planning your study time and sticking to it might be one of the best things to do as you prepare.,3,3,700.0,21,20,20,0,1,0.0,0,0,2018,afternoon,Jan,Tuesday,0,21,0,1,0,No linked content
2018-01-31 15:30:00,6364474716366925824,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6364474716232699904,"#WealthWednesday We know you love the freedom that comes with self-service. We're pleased to let you know that you have that option when it comes to your pension account too. From your registered number, just text 30388 with the following commands:",5,5,280.0,14,13,13,0,1,0.0,0,0,2018,afternoon,Jan,Wednesday,0,41,0,1,0,No linked content
2018-01-31 15:51:00,6364479940125093888,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6364479940007649280,"#WealthWednesday We know you love the freedom that comes with self-service. We're pleased to let you know that you have that option when it comes to your pension account too. From your registered number, just text 30388 with the following commands:",5,5,360.0,18,17,17,0,1,0.0,0,0,2018,afternoon,Jan,Wednesday,0,41,0,1,0,No linked content
2018-01-31 16:00:00,6364482305637048320,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6364482305532190720,"#WealthWednesday We know you love the freedom that comes with self-service. We're pleased to let you know that you have that option when it comes to your pension account too. From your registered number, just text 30388 with the following commands:",6,6,266.67,16,14,14,0,1,16.67,1,1,2018,afternoon,Jan,Wednesday,0,41,0,1,0,No linked content
2018-02-01 09:00:00,6364738902133137408,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6364738901805985792,"#MoneySafe  
Your PIN is for your eyes only. Protect it from preying eyes when you use the ATM.",3,3,600.0,18,16,16,0,2,0.0,0,0,2018,morning,Feb,Thursday,0,18,0,1,0,No linked content
2018-02-01 14:00:00,6364814449311834112,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6364814449206968320,#JAMBTip Which of these helped you prepare well for JAMB back in the day?,3,3,900.0,27,17,17,9,1,0.0,0,0,2018,afternoon,Feb,Thursday,0,14,1,1,0,No linked content
2018-02-02 09:00:00,6365101324534632448,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6365101324450754560,"Imagine a life where all you need is at your fingertips? Yes, that’s #APPyness. Experience it today by downloading on http://onelink.to/hzmcut",5,5,480.0,24,21,21,2,1,0.0,0,0,2018,morning,Feb,Friday,0,21,1,1,0,No linked content
2018-02-04 09:00:00,6365826056204677120,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6365826056083034112,"On today, #WorldCancerDay, remember that when you consistently make healthy lifestyle choices, you can reduce your chance of cancer. Stay healthy to stay wealthy. #WeCanICan",17,17,152.94,26,23,23,1,1,5.88,1,1,2018,morning,Feb,Sunday,1,25,0,2,0,No linked content
2018-02-05 09:00:00,6366188446867877888,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6366188446750437376,"#MotivationMonday Have you been struggling with finishing up a task? This week, try doing something different to get a different result.",5,5,740.0,37,36,36,0,1,0.0,0,0,2018,morning,Feb,Monday,0,21,1,1,0,No linked content
2018-02-06 09:00:00,6366550870066294784,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6366550869978214400,"#CareerTip Human relationship management is one of the best skills that can take you to any height in your career: learn it, hone it and master it.",4,4,475.0,19,18,18,0,1,0.0,0,0,2018,morning,Feb,Tuesday,0,27,0,1,0,No linked content
2018-02-06 10:39:00,6366575885792931841,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6366575885688074240,"Love is in the air and we’re all here for it. Join us on Twitter by 1PM on Thursday, 08 February, 2018 as we discuss getting this year’s Valentine’s gifts with Fola Folayan.",6,6,350.0,21,20,20,0,1,0.0,0,0,2018,morning,Feb,Tuesday,0,33,0,0,0,No linked content
