Date,Post ID,Network,Content Type,Sent by,Link,Post,Impressions,Organic Impressions,Viral Impressions,Non-viral Impressions,Fan Impressions,Fan Organic Impressions,Non-fan Impressions,Non-fan Organic Impressions,Reach,Organic Reach,Viral Reach,Non-viral Reach,Fan Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Other Post Clicks,Post Clicks (All),Post Photo View Clicks,Answers,Negative Feedback,Engaged Users,Engaged Fans,Users Talking About This,Unique Reactions,Unique Comments,Unique Shares,Unique Answers,Unique Post Clicks,Unique Post Photo View Clicks,Unique Other Post Clicks,Unique Negative Feedback,Year,Positive reaction,Negative reaction,day_of_week,is_weekend,post_length,contains_question,num_hashtags,part_of_day_posted,Month,no of tags,Linked Content(?)
2017-07-10 10:08:00,253788558082460_1219790671482239,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1219790671482239:0,"When there is no enemy within, the enemies outside cannot harm you.",7465,5801,1664,5801,5670,5670,1795,131,4848,3982,834,3982,3840,3.55,5.47,265,142,140,12,12,0.0,99,99,66,0,0,198,176,149,139,9,12,0,69,51,27,0.0,2017,2.0,0.0,Monday,0,12,0,0,morning,Jul,0,Content has link(s)
2017-07-11 10:15:00,253788558082460_1220780508049922,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1220780508049922:0,"No matter what you go through, never stop dreaming.",12776,10330,2446,10330,10203,10203,2573,127,8207,6584,1634,6584,6448,3.49,5.43,446,186,183,24,23,0.0,213,213,87,0,0,284,251,205,186,13,21,0,117,74,68,0.0,2017,3.0,0.0,Tuesday,0,9,0,0,morning,Jul,0,Content has link(s)
2017-07-13 10:14:00,253788558082460_1222624274532212,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1222624274532212:0,Would you prefer to watch football at the viewing center or at home?,13103,12330,773,12330,12238,12238,865,92,8722,8272,493,8272,8222,2.9,4.36,380,107,106,36,2,0.0,235,235,107,0,3,246,235,139,106,34,2,0,145,73,109,3.0,2017,1.0,0.0,Thursday,0,13,1,0,morning,Jul,0,Content has link(s)
2017-07-19 13:36:00,253788558082460_1228388910622415,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1228388910622415:0,You can ensure that whatever wishes and dreams you have for your family are maintained whether or not you are there by leaving a legacee. #WealthWednesday,3310,3282,28,3282,3275,3275,35,7,2178,2141,26,2141,2130,1.36,2.07,45,10,10,3,0,0.0,32,32,23,0,0,32,27,12,10,3,0,0,21,12,9,0.0,2017,0.0,0.0,Wednesday,0,26,0,1,afternoon,Jul,0,Content has link(s)
2017-07-19 13:44:00,253788558082460_1228394613955178,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1228394613955178:0,"If you want to preserve a family business for generations to come, Leave a  #legacee. #WealthWednesday",1481,1284,197,1284,1277,1277,204,7,959,828,129,828,816,2.7,4.17,40,9,8,3,1,0.0,27,27,22,0,0,26,20,13,9,3,1,0,14,9,5,0.0,2017,1.0,0.0,Wednesday,0,16,0,2,afternoon,Jul,0,Content has link(s)
2017-07-19 13:45:00,253788558082460_1228395587288414,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1228395587288414:0,"Beyond this, you can also leave a #legacee for your family. It’s like giving your wishes life even when you may not be here. 
When you leave a #legacee, there is no disputing what you may have wanted and your loved ones will be grateful for it. #WealthWednesday",2148,1950,198,1950,1945,1945,203,5,1420,1277,133,1277,1266,2.93,4.44,63,11,10,1,1,0.0,50,50,28,0,0,42,36,13,11,1,1,0,31,18,14,0.0,2017,1.0,0.0,Wednesday,0,48,0,3,afternoon,Jul,0,Content has link(s)
2017-07-19 13:47:00,253788558082460_1228397327288240,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1228397327288240:0,You can prevent dispute over your hard earned assets when you are gone by leaving a #legacee  #WealthWednesday,1965,1965,0,1965,1953,1953,12,12,1368,1368,0,1368,1357,2.39,3.44,47,1,1,1,0,0.0,45,45,24,0,0,32,26,2,1,1,0,0,30,16,14,0.0,2017,0.0,0.0,Wednesday,0,18,0,2,afternoon,Jul,0,Content has link(s)
2017-07-19 13:51:00,253788558082460_1228399710621335,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1228399710621335:0,"A smart way to leave a legacee is by writing a will. 
We know that for some of us, writing a Will has an air of finality and may seem like you’re leaving soon. We can assure you that it's not.
Writing a will is you being proactive about the certainties of life and ensuring that you are not taken unawares. 
#WealthWednesday",2844,2823,21,2823,2798,2798,46,25,1917,1895,16,1895,1882,1.79,2.66,51,8,7,1,0,0.0,42,42,33,0,0,35,28,9,8,1,0,0,26,17,9,0.0,2017,1.0,0.0,Wednesday,0,62,0,1,afternoon,Jul,0,Content has link(s)
2017-07-19 14:02:00,253788558082460_1228406603953979,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1228406603953979:0,"Your #legacee today can make a difference. Even in your final moments, you will be assured that you made your mark. #WealthWednesday",5078,5063,15,5063,5016,5016,62,47,3428,3423,8,3423,3386,2.01,2.98,102,8,8,1,0,0.0,93,93,40,0,0,61,55,9,8,1,0,0,53,24,30,0.0,2017,0.0,0.0,Wednesday,0,22,0,2,afternoon,Jul,0,Content has link(s)
2017-07-21 17:00:00,253788558082460_1230549457073027,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1230549457073027:0,TGIF! Don’t forget to take your Stanbic IBTC card along when seeing a movie at the cinemas this weekend. Call 01 270 9676 or email CustomerCareNigeria@stanbicibtc.com for details.,3854,3481,373,3481,3433,3433,421,48,2444,2234,216,2234,2204,2.21,3.48,85,29,29,4,2,0.03,49,50,33,0,0,67,52,33,28,4,2,0,36,25,15,0.0,2017,0.0,0.0,Friday,0,28,0,0,evening,Jul,0,Content has link(s)
