Date,Post ID,Network,Content Type,Profile,Sent by,Link,Post,Impressions,Organic Impressions,Reach,Organic Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Reactions,Likes,Comments,Saves,Year,no of tags,part_of_day_posted,day_of_week,is_weekend,post_length,contains_question,num_hashtags,Month
2016-09-09 13:50:00,17862881485009762,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKIsRL6hlbY/,"Tune in to WE106.3FM Abuja to learn how you can invest in #StanbicIBTC Mutual Funds and earn competitive returns. For more information, please call 01 2801266, 01 280 5595 or email assetmanagement@stanbicibtc.com #NeverStopInvesting",2,2,2,2,1950.0,1950.0,39,39,39,0,0,2016,0,afternoon,Friday,0,33,0,2,Sep
2016-09-14 17:05:00,17842347463137236,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKV6gqSBRai/,"Tune in to @Nigeriainfofmabuja to learn how you can invest in our Mutual Funds and earn competitive returns. 
For more information, please call 01 2801266, 01 2805595 or email assetmanagement@stanbicibtc.com 
#NeverStopInvesting #StabicIBTC",3,3,3,3,1567.0,1567.0,47,46,46,1,0,2016,0,evening,Wednesday,0,32,0,2,Sep
2016-09-15 10:00:00,17863458754018743,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKXunecBpvO/,"If you could choose to stay a certain age forever, what age would it be? Why? 
#StanbicIBTC",2,2,2,2,6650.0,6650.0,133,111,111,22,0,2016,0,morning,Thursday,0,17,1,1,Sep
2016-09-19 20:59:00,17842644220131133,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKjNN47BLIR/,"Want #investments that don’t cost £89m and you can still dab about? Email us assetmanagement@stanbicibtc.com
www.stanbicibtc.com/assetmanagement #stanbicibtc #neverstopinvesting",1,1,1,1,6700.0,6700.0,67,62,62,5,0,2016,0,evening,Monday,0,18,1,3,Sep
2016-09-20 17:33:00,17852786815111246,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKlafM4BG0V/,"Tune into @ifm92.3 to learn how you can invest in our Mutual Funds and earn competitive returns. 
For more information, please call 012801266, 012805595 or email assetmanagement@stanbicibtc.com 
#NeverStopInvesting",1,1,1,1,2300.0,2300.0,23,23,23,0,0,2016,0,evening,Tuesday,0,28,0,1,Sep
2016-09-21 18:32:00,17862097345029127,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKoGD0ohgPk/,"Tune in to @Nigeriainfofmabuja to learn how to invest in our Mutual Funds and earn competitive returns. 
For more information, please call 01-2801266, 01-2805595 or email assetmanagement@stanbicibtc.com.
#NeverStopInvesting",4,4,4,4,550.0,550.0,22,21,21,1,0,2016,0,evening,Wednesday,0,28,0,1,Sep
2016-09-22 17:30:00,17842528030165150,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKqjxahBuGA/,"Diversify your investments with #MutualFunds that help you make profitable investments. For more information, call 012801266 or email assetmanagement@stanbicibtc.com 
#InvestWisely #NeverStopInvesting",2,2,2,2,3150.0,3150.0,63,63,63,0,0,2016,0,evening,Thursday,0,21,0,3,Sep
2016-09-23 12:07:00,17863701655001770,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKsji7ehIja/,"Chinonye's birth defect has made fitting into school difficult. Come, let's get #Together4ALimb for children like Chinonye.
Join us as we walk #Together4ALimb on 24 September, 2016 in Abuja.",4,4,4,4,1925.0,1925.0,77,76,76,1,0,2016,0,afternoon,Friday,0,29,0,2,Sep
2016-09-23 15:57:00,17862894721053132,Instagram,Video,stanbicibtc,Anonymous,https://www.instagram.com/p/BKs94w0ByP6/,Seeing so much joy and happiness in the lives of these children is the reason we do what we do. Join us tomorrow as we walk #Together4ALimb in #Abuja,2,2,2,2,2700.0,2700.0,54,52,52,2,0,2016,0,afternoon,Friday,0,29,0,2,Sep
2016-09-23 17:45:00,17862322348020094,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKtKRwLh0IB/,"We will be walking #Together4ALimb tomorrow in Abuja, to raise awareness for children without limbs.",2,2,2,2,3400.0,3400.0,68,67,67,1,0,2016,0,evening,Friday,0,15,0,1,Sep
2016-09-24 06:54:00,17856074857066124,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKukewjhEON/,#Together4ALimb walk will be starting in a couple of minutes.,3,3,3,3,1700.0,1700.0,51,50,50,1,0,2016,0,morning,Saturday,1,10,0,1,Sep
2016-09-24 06:59:00,17852881306097501,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKulJ18BFD8/,No child deserves to suffer because of a limb defect. Join us in a couple on minutes as we walk #Together4ALimb in Abuja.,3,3,3,3,1733.0,1733.0,52,52,52,0,0,2016,0,morning,Saturday,1,23,0,1,Sep
2016-09-24 07:00:00,17842567063156556,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKulPSEBQhD/,"Warm up session before the walk. #Together4ALimb
Are you out here? Use the hashtag for your pictures and tag us.",2,2,2,2,2600.0,2600.0,52,52,52,0,0,2016,0,morning,Saturday,1,20,1,1,Sep
2016-09-24 07:30:00,17842799035131780,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKuomZKh8ap/,'@bubusn got his selfie game to walk #Together4ALimb 😊Image via @bubusn,2,2,2,2,3700.0,3700.0,74,74,74,0,0,2016,0,morning,Saturday,1,11,0,1,Sep
2016-09-24 07:34:00,17842603363176059,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKupELbh2pb/,"Our C.E @SolaDavidBorha declared the 2016 #Together4ALimb opened
Join us guys!",3,3,3,3,4167.0,4167.0,125,122,122,3,0,2016,0,morning,Saturday,1,11,0,1,Sep
2016-09-24 07:38:00,17863392304057062,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKupld1hqcQ/,There's always time for a mid-walk team photo! #Together4ALimb,2,2,2,2,2700.0,2700.0,54,54,54,0,0,2016,0,morning,Saturday,1,9,0,1,Sep
2016-09-24 07:48:00,17864361514047496,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKuqw0qBubF/,Our babies! The reasons we're here 😍😍💃💃#Together4ALimb,2,2,2,2,3250.0,3250.0,65,64,64,1,0,2016,0,morning,Saturday,1,7,0,1,Sep
2016-09-24 07:50:00,17852851606117202,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKuq5Heh6tl/,"We made it 💃
But we're just getting started.
#Together4ALimb",2,2,2,2,2050.0,2050.0,41,41,41,0,0,2016,0,morning,Saturday,1,10,0,1,Sep
2016-09-24 07:53:00,17842628353192289,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKurPz4BUZ-/,"The recipients of the prosthetic limbs today!
Mohammed, Fatima, Al'hassan, Goni, Aliyu.
This is for them
#Together4ALimb",2,2,2,2,2550.0,2550.0,51,51,51,0,0,2016,0,morning,Saturday,1,17,0,1,Sep
2016-09-24 07:56:00,17863267498044668,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKurpDYhRy0/,Image via @andymadaki -  #Together4ALimb,2,2,2,2,1800.0,1800.0,36,36,36,0,0,2016,0,morning,Saturday,1,5,0,1,Sep
2016-09-24 08:02:00,17842594174138462,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKusSqlhKjH/,"We have the First Lady of Zamfara State here today, Hajia Yari. #Together4ALimb",2,2,2,2,2050.0,2050.0,41,41,41,0,0,2016,0,morning,Saturday,1,13,0,1,Sep
2016-09-24 08:03:00,17852876971115215,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKusaIZh32E/,Image via @andymadaki -  Today I joined @StanbicIbtc to walk #Together4ALimb. Awareness for children in need of prosthetic limbs,2,2,2,2,4000.0,4000.0,80,80,80,0,0,2016,0,morning,Saturday,1,19,0,1,Sep
2016-09-24 08:05:00,17863597174009623,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKusp1ThjzO/,"Mohammed will be running soon, we're glad.
#Together4ALimb",1,1,1,1,5700.0,5700.0,57,54,54,3,0,2016,0,morning,Saturday,1,8,0,1,Sep
2016-09-24 08:26:00,17842565671166659,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKuvFzHB8Xd/,Image via @kadiba90 -  #Together4Alimb,1,1,1,1,4600.0,4600.0,46,46,46,0,0,2016,0,morning,Saturday,1,5,0,1,Sep
2016-09-24 08:28:00,17856656023066366,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKuvSGMB3Lx/,Image via @tjbakare1 -  #Together4ALimb #OpsTeamNCZone #StanbicIBTC,1,1,1,1,11700.0,11700.0,117,116,116,1,0,2016,0,morning,Saturday,1,7,0,3,Sep
2016-09-24 08:29:00,17862611221016234,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKuvabbB9uJ/,'@kadiba90 -  #Together4Alimb,1,1,1,1,5100.0,5100.0,51,48,48,3,0,2016,0,morning,Saturday,1,3,0,1,Sep
2016-09-24 08:30:00,17862548995007882,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKuvjC0BVoS/,'@timi_ilufoye -  #together4alimb #AbujaT4AL  #Moving forward,1,1,1,1,4400.0,4400.0,44,44,44,0,0,2016,0,morning,Saturday,1,6,0,3,Sep
2016-09-24 09:09:00,17842588159154702,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BKuz8TMBUmI/,'@yejid3 -  #Together4alimb #OpsTeamNCZone #StanbicIBTC,1,1,1,1,6900.0,6900.0,69,67,67,2,0,2016,0,morning,Saturday,1,5,0,3,Sep
2016-09-28 18:46:00,17863136020031610,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BK6JMyBB7ak/,"#InterviewTip:
Twitter can be a good resource because you can judge the company's culture by seeing what the company and it's employees are talking about. Are they exchanging banter? Feel free to throw a few jokes in.",1,1,1,1,6000.0,6000.0,60,58,58,2,0,2016,0,evening,Wednesday,0,37,1,1,Sep
